末级知识点,打标解读（标绿的标签，新题不再打）,大模型压缩+人工微调的释义,原始释义是否有理解问题/压缩后的释义是否依然存在问题,"常见题干（3-10个）
（根据题目常见问法的多样性匹配题干数量）","多知识点题干（3-10个）
（根据题目变式或组合的多样性匹配题干数量）","多知识点题干ID
(只粘有理解成本的)",所含其他知识点（除当前知识点外）,人员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->can->can表示能力/能够,"① 常见题型：单选题，填空题，完形填空，语法填空，首字母填空，短文填空
② 题干关键词：直接提示词：can, can't
③ 涉及考查知识点有：基本含义：can 表示 能力（ability），意为“会、能、能够”，指体力、智力、技能或客观可能性上的能力。肯定句结构：主语 + can + 动词原形 + 其他.
否定句结构：主语 + cannot / can't + 动词原形 + 其他. 一般疑问句结构：Can + 主语 + 动词原形 + 其他? 肯定回答：Yes, 主语 + can. 否定回答：No, 主语 + can't. 特殊疑问句：What can + 主语 + 动词原形? 与 be able to 的区别等","① 常见题型：单选题，填空题，完形填空，语法填空，首字母填空，短文填空
② 题干关键词：直接提示词：can, can't
③ 涉及考查知识点有：基本含义：can 表示 能力（ability），意为“会、能、能够”，指体力、智力、技能或客观可能性上的能力。肯定句结构：主语 + can + 动词原形 + 其他.
否定句结构：主语 + cannot / can't + 动词原形 + 其他. 一般疑问句结构：Can + 主语 + 动词原形 + 其他? 肯定回答：Yes, 主语 + can. 否定回答：No, 主语 + can't. 特殊疑问句：What can + 主语 + 动词原形? 与 be able to 的区别等",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->can->can表示请求/许可,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话
② 题干关键词：直接提示词：can, can't
③ 涉及考查知识点有：基本含义：can 用于 请求对方允许自己做某事（Can I...?）或 给予/拒绝许可（You can... / You can't...），也可用于 请求对方做某事（Can you...?）。答语注意：对 Can I...? 的肯定回答常用 Yes, you can. 或 Sure. / Certainly.，否定回答 No, you can't. 或 I'm afraid not. 对 Can you...? 的肯定回答常用 Yes, I can. / Sure.，否定回答 Sorry, I can't.","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话
② 题干关键词：直接提示词：can, can't
③ 涉及考查知识点有：基本含义：can 用于 请求对方允许自己做某事（Can I...?）或 给予/拒绝许可（You can... / You can't...），也可用于 请求对方做某事（Can you...?）。答语注意：对 Can I...? 的肯定回答常用 Yes, you can. 或 Sure. / Certainly.，否定回答 No, you can't. 或 I'm afraid not. 对 Can you...? 的肯定回答常用 Yes, I can. / Sure.，否定回答 Sorry, I can't.",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->can->can't表示否定推测,"① 常见题型：单选题，填空题，完形填空，语法填空
② 题干关键词：直接提示词：can't
③ 涉及考查知识点有：can't 用于 否定推测，表示说话人根据已有事实或逻辑推断某事 几乎不可能 是真的或不可能发生，相当于“一定不”、“不可能”。","① 常见题型：单选题，填空题，完形填空，语法填空
② 题干关键词：直接提示词：can't
③ 涉及考查知识点有：can't 用于 否定推测，表示说话人根据已有事实或逻辑推断某事 几乎不可能 是真的或不可能发生，相当于“一定不”、“不可能”。",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->could->could表示能力/能够,"① 常见题型：单选题，填空题，完形填空，语法填空
② 题干关键词：直接提示词：could，couldn't，could not
③ 涉及考查知识点有：could 是 can 的过去式，表示 过去的能力（past ability），意为“过去会、过去能、过去能够”。肯定句结构：主语 + could + 动词原形 + 其他. 否定句结构：主语 + could not / couldn't + 动词原形 + 其他. 一般疑问句结构：Could + 主语 + 动词原形 + 其他? 肯定回答：Yes, 主语 + could. 否定回答：No, 主语 + couldn't. 与 was/were able to 的区别
注意和could其他标签区分","① 常见题型：单选题，填空题，完形填空，语法填空
② 题干关键词：直接提示词：could，couldn't，could not
③ 涉及考查知识点有：could 是 can 的过去式，表示 过去的能力（past ability），意为“过去会、过去能、过去能够”。肯定句结构：主语 + could + 动词原形 + 其他. 否定句结构：主语 + could not / couldn't + 动词原形 + 其他. 一般疑问句结构：Could + 主语 + 动词原形 + 其他? 肯定回答：Yes, 主语 + could. 否定回答：No, 主语 + couldn't. 与 was/were able to 的区别
注意和could其他标签区分",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->could->could表示委婉语气,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话
② 题干关键词：问句提示：could，Could I...?, Could you...?, Could we...? 答语提示：肯定答语常用 Sure., Of course., Certainly., Yes, you can.（注意不用 could 回答，用 can 或 may）；否定答语 Sorry, I can't. / I'm afraid not.
③ 涉及考查知识点有：could 用于 现在时间，表达 委婉、礼貌、客气 的语气，常用于请求、建议、询问、邀请等交际功能。它不表示过去时，也不表示能力，而是 can 的委婉替代形式。提问和答语见上条
注意和could其他标签区分","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话
② 题干关键词：问句提示：could，Could I...?, Could you...?, Could we...? 答语提示：肯定答语常用 Sure., Of course., Certainly., Yes, you can.（注意不用 could 回答，用 can 或 may）；否定答语 Sorry, I can't. / I'm afraid not.
③ 涉及考查知识点有：could 用于 现在时间，表达 委婉、礼貌、客气 的语气，常用于请求、建议、询问、邀请等交际功能。它不表示过去时，也不表示能力，而是 can 的委婉替代形式。提问和答语见上条
注意和could其他标签区分",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->could->could表示推测,"① 常见题型：单选题，填空题，完形填空，语法填空，首字母填空，短文填空
② 题干关键词：could, 语境线索：缺乏确凿证据
③ 涉及考查知识点有：could 可用于 肯定句、否定句、疑问句 中表示推测，指说话人认为某事 有可能 发生或存在，但不确定性较高。相当于“可能、也许”。对现在/未来的推测：could + 动词原形（或 could be + 形容词/名词）。对正在进行的推测：could + be + doing（He could be sleeping now.）
注意和could其他标签区分","① 常见题型：单选题，填空题，完形填空，语法填空，首字母填空，短文填空
② 题干关键词：could, 语境线索：缺乏确凿证据
③ 涉及考查知识点有：could 可用于 肯定句、否定句、疑问句 中表示推测，指说话人认为某事 有可能 发生或存在，但不确定性较高。相当于“可能、也许”。对现在/未来的推测：could + 动词原形（或 could be + 形容词/名词）。对正在进行的推测：could + be + doing（He could be sleeping now.）
注意和could其他标签区分",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->may ->may表示请求/许可,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：May I...?, May we...?
③ 涉及考查知识点有：基本含义：may 用于 正式、礼貌地请求许可（May I...?）或 给予/拒绝许可（You may... / You may not...）。请求许可：May + I/we + 动词原形 + 其他?（如 May I borrow your pen?）给予许可：Yes, you may. / You may + 动词原形.（如 You may go now.） 拒绝许可：No, you may not. / You may not + 动词原形.（如 You may not leave early.）
注意和may其他标签区分","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：May I...?, May we...?
③ 涉及考查知识点有：基本含义：may 用于 正式、礼貌地请求许可（May I...?）或 给予/拒绝许可（You may... / You may not...）。请求许可：May + I/we + 动词原形 + 其他?（如 May I borrow your pen?）给予许可：Yes, you may. / You may + 动词原形.（如 You may go now.） 拒绝许可：No, you may not. / You may not + 动词原形.（如 You may not leave early.）
注意和may其他标签区分",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->may ->may表示推测,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：may, may not
③ 涉及考查知识点有：基本含义：may 用于 肯定句和否定句 中表示 推测，指说话人认为某事 有可能 发生或存在，但 不确定性中等（约50%把握）。相当于“可能、也许”。对现在/未来的推测：may + 动词原形（或 may be + 形容词/名词）。
对正在进行的推测：may + be + doing（He may be sleeping now.）
对过去的推测（初中中高年级）：may + have + 过去分词（She may have missed the bus. 她可能错过了公交车）
注意和may其他标签区分","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：may, may not
③ 涉及考查知识点有：基本含义：may 用于 肯定句和否定句 中表示 推测，指说话人认为某事 有可能 发生或存在，但 不确定性中等（约50%把握）。相当于“可能、也许”。对现在/未来的推测：may + 动词原形（或 may be + 形容词/名词）。
对正在进行的推测：may + be + doing（He may be sleeping now.）
对过去的推测（初中中高年级）：may + have + 过去分词（She may have missed the bus. 她可能错过了公交车）
注意和may其他标签区分",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->may ->may表示祝愿,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：May 位于句首，首字母大写（常考），后接主语（通常是 you 或 we）和动词原形。语境常见于节日祝福，送别和对他人未来的美好期望
③ 涉及考查知识点有：基本含义：may 置于句首，表示 祝愿、祝福，意为“祝……、愿……”。结构：May + 主语 + 动词原形 + 其他！
注意和may其他标签区分","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：May 位于句首，首字母大写（常考），后接主语（通常是 you 或 we）和动词原形。语境常见于节日祝福，送别和对他人未来的美好期望
③ 涉及考查知识点有：基本含义：may 置于句首，表示 祝愿、祝福，意为“祝……、愿……”。结构：May + 主语 + 动词原形 + 其他！
注意和may其他标签区分",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->might,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：might，might not
③ 涉及考查知识点有：基本含义：might 表示 可能性很小、非常不确定的推测，意为“也许、说不定”。把握程度约30%，低于 may（50%）和 could（30-50%）。可用于可能性很小的推测；委婉建议和请求（You might + 动词原形（表示“你也许应该……”））；用于虚拟语气（表示与现在或过去事实相反的结果。例：If I were you, I might accept the offer.）","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：might，might not
③ 涉及考查知识点有：基本含义：might 表示 可能性很小、非常不确定的推测，意为“也许、说不定”。把握程度约30%，低于 may（50%）和 could（30-50%）。可用于可能性很小的推测；委婉建议和请求（You might + 动词原形（表示“你也许应该……”））；用于虚拟语气（表示与现在或过去事实相反的结果。例：If I were you, I might accept the offer.）",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->must->must表示必须,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：must（后接动词原形）。
③ 涉及考查知识点有：must 表示 主观上的义务、必要或强制，意为“必须、一定要”。
Must I hand in the homework tomorrow?（我必须明天交作业吗？）
肯定回答：Yes, you must.
否定回答：No, you needn’t. / No, you don’t have to.（不能用 No, you mustn’t.）与have to的区别是： must 强调主观意愿 / 命令，have to 强调客观需要 / 规定","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：must（后接动词原形）。
③ 涉及考查知识点有：must 表示 主观上的义务、必要或强制，意为“必须、一定要”。
Must I hand in the homework tomorrow?（我必须明天交作业吗？）
肯定回答：Yes, you must.
否定回答：No, you needn’t. / No, you don’t have to.（不能用 No, you mustn’t.）与have to的区别是： must 强调主观意愿 / 命令，have to 强调客观需要 / 规定",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->must->mustn't表示禁止,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：mustn’t, must not（后接动词原形）。
③ 涉及考查知识点有：must的否定形式：must not / mustn’t 表示 禁止；疑问句以及答语：
Must I hand in the homework tomorrow?（我必须明天交作业吗？）
肯定回答：Yes, you must.
否定回答：No, you needn’t. / No, you don’t have to.（不能用 No, you mustn’t.）","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：mustn’t, must not（后接动词原形）。
③ 涉及考查知识点有：must的否定形式：must not / mustn’t 表示 禁止；疑问句以及答语：
Must I hand in the homework tomorrow?（我必须明天交作业吗？）
肯定回答：Yes, you must.
否定回答：No, you needn’t. / No, you don’t have to.（不能用 No, you mustn’t.）",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->must->must表示推测,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：must（后接动词原形）。
③ 涉及考查知识点有：must 用于 肯定推测，表示说话人根据已有证据或逻辑，认为某事 极有可能 是真的，意为“一定、肯定、准是”。否定形式：must 的否定推测 不用 mustn't（mustn't 表示“禁止”）。否定推测用 can't 或 couldn't，意为“不可能”。","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：must（后接动词原形）。
③ 涉及考查知识点有：must 用于 肯定推测，表示说话人根据已有证据或逻辑，认为某事 极有可能 是真的，意为“一定、肯定、准是”。否定形式：must 的否定推测 不用 mustn't（mustn't 表示“禁止”）。否定推测用 can't 或 couldn't，意为“不可能”。",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->shall,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：shall，Shall I...?, Shall we...?（后接动词原形）
③ 涉及考查知识点有：征求意见 / 提出建议：Shall I / we + 动词原形?，意为“（我/我们）……好吗？反意疑问句中的 shall we：Let's start, shall we?（我们开始吧，好吗？）这是固定用法，shall we 用于 Let's 开头的祈使句后，表示征求同意。","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：shall，Shall I...?, Shall we...?（后接动词原形）
③ 涉及考查知识点有：征求意见 / 提出建议：Shall I / we + 动词原形?，意为“（我/我们）……好吗？反意疑问句中的 shall we：Let's start, shall we?（我们开始吧，好吗？）这是固定用法，shall we 用于 Let's 开头的祈使句后，表示征求同意。",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->should,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：should, shouldn’t, should not（后接动词原形）。
③ 涉及考查知识点有：基本含义：should 表示 义务、建议、劝告，意为“应该”，用法有：表示建议、义务、责任（“应该”）；表示推测或预期（“按理应该”、“估计会”）；用于虚拟语气（在 suggest, insist, recommend, demand 等动词后的 that 从句中，should + 动词原形 表示建议或要求）","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：should, shouldn’t, should not（后接动词原形）。
③ 涉及考查知识点有：基本含义：should 表示 义务、建议、劝告，意为“应该”，用法有：表示建议、义务、责任（“应该”）；表示推测或预期（“按理应该”、“估计会”）；用于虚拟语气（在 suggest, insist, recommend, demand 等动词后的 that 从句中，should + 动词原形 表示建议或要求）",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->will,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：will, won’t = will not（后接动词原形）
③ 涉及考查知识点有：will 表示 将来发生的动作或状态， 强调主观意愿、即兴决定 或 客观预测；will 表示 说话时的即兴决定、主动提供、承诺、拒绝；结构：Will you + 动词原形? 用于 请求对方做某事 或 发出邀请","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：will, won’t = will not（后接动词原形）
③ 涉及考查知识点有：will 表示 将来发生的动作或状态， 强调主观意愿、即兴决定 或 客观预测；will 表示 说话时的即兴决定、主动提供、承诺、拒绝；结构：Will you + 动词原形? 用于 请求对方做某事 或 发出邀请",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->would,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：would, wouldn’t = would not（后接动词原形）；Would you...?（Would you please...?, Would you like...?, Would you mind...?），Would you like to...? 表示礼貌邀请。
③ 涉及考查知识点有： 表示过去将来（间接引语）例如：He said he would call me later.（他说他晚些会打电话给我。）表示委婉请求、邀请、建议（现在/将来时间）例如 Would you please open the window?（请你打开窗户好吗？）表示虚拟语气，例如 If I were you, I would say sorry.（如果我是你，我会道歉。）","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：would, wouldn’t = would not（后接动词原形）；Would you...?（Would you please...?, Would you like...?, Would you mind...?），Would you like to...? 表示礼貌邀请。
③ 涉及考查知识点有： 表示过去将来（间接引语）例如：He said he would call me later.（他说他晚些会打电话给我。）表示委婉请求、邀请、建议（现在/将来时间）例如 Would you please open the window?（请你打开窗户好吗？）表示虚拟语气，例如 If I were you, I would say sorry.（如果我是你，我会道歉。）",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->have to,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词： has to / had to / don’t have to / doesn’t have to / didn’t have to
③ 涉及考查知识点有： have to 表示”不得不“；一般现在时形式为have/has to; 一般过去时形式为had to; 否定结构：don’t/doesn’t/didn’t + have to（表示 “不必”）:疑问结构：Do/Does/Did + 主语 + have to…?与must的区别是： must 强调主观意愿 / 命令，have to 强调客观需要 / 规定","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词： has to / had to / don’t have to / doesn’t have to / didn’t have to
③ 涉及考查知识点有： have to 表示”不得不“；一般现在时形式为have/has to; 一般过去时形式为had to; 否定结构：don’t/doesn’t/didn’t + have to（表示 “不必”）:疑问结构：Do/Does/Did + 主语 + have to…?与must的区别是： must 强调主观意愿 / 命令，have to 强调客观需要 / 规定",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->had better,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词： had better / 'd better / had better not
③ 涉及考查知识点有： 基本含义：表示劝告、建议，意为 “最好……”肯定句结构：had better + 动词原形；否定句结构：had better not + 动词原形","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词： had better / 'd better / had better not
③ 涉及考查知识点有： 基本含义：表示劝告、建议，意为 “最好……”肯定句结构：had better + 动词原形；否定句结构：had better not + 动词原形",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->情态动词->ought to,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：ought to / ought not to / oughtn’t to
③ 涉及考查知识点有： 基本含义：表示 “应该、理应”，侧重责任、义务、合乎情理或按道理推测；肯定句结构：ought to + 动词原形；否定句结构：ought not to /oughtn’t to + 动词原形；ought to无人称、时态、数的变化,所有人称统一用 ought to，不随主语变化","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：ought to / ought not to / oughtn’t to
③ 涉及考查知识点有： 基本含义：表示 “应该、理应”，侧重责任、义务、合乎情理或按道理推测；肯定句结构：ought to + 动词原形；否定句结构：ought not to /oughtn’t to + 动词原形；ought to无人称、时态、数的变化,所有人称统一用 ought to，不随主语变化",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->既作实义动词又作情态动词的动词->need,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：need / needn’t / don’t need to / doesn’t need to / didn’t need to
③ 涉及考查知识点有：need既可以做情态动词，也可以做实义动词：做情态动词时，need / needn't +动词原形,注意need无人称和时态变化；做实义动词时，肯定句为need to do，否定句为 don’t/doesn’t/didn’t need to do
原则上题干和正确答案只要涉及到need的考题直接打这个标签即可","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：need / needn’t / don’t need to / doesn’t need to / didn’t need to
③ 涉及考查知识点有：need既可以做情态动词，也可以做实义动词：做情态动词时，need / needn't +动词原形,注意need无人称和时态变化；做实义动词时，肯定句为need to do，否定句为 don’t/doesn’t/didn’t need to do
原则上题干和正确答案只要涉及到need的考题直接打这个标签即可",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->动词->既作实义动词又作情态动词的动词->dare,"① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：dare（敢，敢于），daren’t，don’t / doesn’t / didn’t dare to
③ 涉及考查知识点有：dare既可以做情态动词，也可以做实义动词：做情态动词时，dare / daren’t +动词原形,注意dare无人称和时态变化；做实义动词时，肯定句为dare to do，否定句为 don’t/doesn’t/didn’t dare to do
原则上题干和正确答案只要涉及到dare的考题直接打这个标签即可","① 常见题型：单选题，填空题，完形填空，语法填空，补全对话，首字母填空，短文填空
② 题干关键词：dare（敢，敢于），daren’t，don’t / doesn’t / didn’t dare to
③ 涉及考查知识点有：dare既可以做情态动词，也可以做实义动词：做情态动词时，dare / daren’t +动词原形,注意dare无人称和时态变化；做实义动词时，肯定句为dare to do，否定句为 don’t/doesn’t/didn’t dare to do
原则上题干和正确答案只要涉及到dare的考题直接打这个标签即可",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->非谓语动词->动词不定式->动词不定式的结构->动词不定式的一般式,"① 常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换
② 题干关键词：结构为to+动词原形；want /hope/decide /agree/refuse /learn/plan 等后接不定式；ask /tell/want /allow/invite 等后接宾补+不定式；句型It’s + adj. + to do
③ 涉及考查知识点有：作主语：To learn English well is important.（常用 It 作形式主语：It is important to learn English well.）
作宾语：I want to go home.（及物动词后作宾语）
作宾语补足语：He asked me to help him.（注意感官/使役动词后省略 to）
作定语：I have a lot of work to do.（修饰名词，通常表示未发生的动作）
作状语：
目的状语：He came to borrow my bike.（为了……）
结果状语：He is too young to go to school.（太……而不能……）
作表语：My dream is to become a doctor.
与疑问词连用：I don’t know what to do.",第三轮最终高密度结构化释义：① 常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换；② 题干关键词：to+动词原形；want、hope、decide、agree、refuse、learn、plan；ask、tell、want、allow、invite；It’s + adj. + to do；③ 涉及考查知识点有：动词不定式作主语（含it作形式主语句型）、动词不定式作宾语、动词不定式作宾语补足语、动词不定式作定语、动词不定式作目的状语、动词不定式作结果状语、动词不定式作表语、动词不定式与疑问词连用；注意：易混淆点为感官/使役动词后接不定式作宾补时省略to，无明确排他性“不打此标签”的具体条件,"① 常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换
② 题干关键词：结构为to+动词原形；want /hope/decide /agree/refuse /learn/plan 等后接不定式；ask /tell/want /allow/invite 等后接宾补+不定式；句型It’s + adj. + to do
③ 涉及考查知识点有：作主语：To learn English well is important.（常用 It 作形式主语：It is important to learn English well.）
作宾语：I want to go home.（及物动词后作宾语）
作宾语补足语：He asked me to help him.（注意感官/使役动词后省略 to）
作定语：I have a lot of work to do.（修饰名词，通常表示未发生的动作）
作状语：
目的状语：He came to borrow my bike.（为了……）
结果状语：He is too young to go to school.（太……而不能……）
作表语：My dream is to become a doctor.
",,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->非谓语动词->动词不定式->动词不定式的结构->动词不定式的否定式,"① 常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换
② 题干关键词：结构为not to + 动词原形；want /hope/decide /agree/refuse /learn/plan 等后接不定式；ask /tell/want /allow/invite 等后接宾补+不定式；句型It’s + adj. + to do
③ 涉及考查知识点有：基本结构：不定式的否定式是在 to 前面直接加 not，构成 not to do。
作主语：Not to study hard is a mistake.（常用 It 形式主语：It’s a mistake not to study hard.）
作宾语：I promise not to be late again.
作宾补：She told me not to wait for her.
作定语：He has a decision not to travel alone.（较少，初中不常见）
作状语：
目的状语（否定）：He left early in order not to miss the bus. / so as not to...
结果状语（否定）：He was too tired to go any further.（too...to 结构本身含否定，但并非直接 not to do）
作表语：His plan is not to give up.",第三轮：最终的高密度结构化释义：① 常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换；② 题干关键词：not to + 动词原形，want、hope、decide、agree、refuse、learn、plan、ask、tell、allow、invite，It’s + adj. + to do，in order not to，so as not to，too...to；③ 涉及考查知识点有：动词不定式否定式基本结构，动词不定式否定式作主语（含it形式主语句型）、作宾语、作宾补、作定语、作状语（含目的状语、结果状语）、作表语的用法；注意：1. 初中阶段动词不定式否定式作定语考查频率极低；2. too...to结构本身含否定语义，不属于直接加not构成的not to do类考点,否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->非谓语动词->动词不定式->动词不定式的结构->动词不定式的被动式,"① 常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换
② 题干关键词：结构为to be + 过去分词（如 to be done, to be built, to be invited）。
③ 涉及考查知识点有：不定式被动式 to be done 表示 被动意义，即不定式的逻辑主语是动作的承受者。
作主语（较少，常用 It 形式主语）：To be respected is important.（被人尊重很重要。）
作宾语：He hopes to be sent abroad.（他希望被派往国外。——及物动词后）
作宾语补足语：She asked the letter to be posted at once.（她要求信马上被寄出。）
作定语：The bridge to be built next year will be very long.（明年将要修建的桥会很长。——修饰 bridge，表示未来的被动动作）
作状语（目的/结果，较少）：He went to the hospital to be examined.（他去医院接受检查。——目的）
作表语：The plan is to be carried out tomorrow.（计划将在明天被执行。）
用于 there be 结构：There are many trees to be planted.（有许多树要种。）",第三轮：最终的高密度结构化释义。①常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换；②题干关键词：to be + 过去分词，to be done，to be built，to be invited；③涉及考查知识点有：不定式被动式to be done（表被动，不定式逻辑主语为动作承受者），不定式被动式作主语（常用it作形式主语）、作宾语、作宾语补足语、作定语（表未来被动动作）、作状语（多表目的/结果）、作表语、用于there be结构；注意：无明确说明,否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词法->非谓语动词->动词不定式->动词不定式的结构->省略to的动词不定式,"① 常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换
② 题干关键词：省略 to 的不定式即不带 to 的动词原形，感官动词，使役动词等后面要跟省略to 的不定式
③ 涉及考查知识点有：主要使用情景有：情态动词之后，感官动词 + 宾语 + 动词原形，使役动词 + 宾语 + 动词原形，had better (not) + 动词原形，would rather (not) + 动词原形，Why not + 动词原形?（表示建议）","① 常见题型：单选题，语法选择，语法填空，首字母填空，短文填空，句型转换
② 题干关键词：省略 to 的不定式即不带 to 的动词原形，感官动词，使役动词等后面要跟省略to 的不定式
③ 涉及考查知识点有：主要使用情景有：情态动词之后，感官动词 + 宾语 + 动词原形，使役动词 + 宾语 + 动词原形，had better (not) + 动词原形，would rather (not) + 动词原形，Why not + 动词原形?（表示建议）",否,,,,,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
